model,score_test,accuracy,balanced_accuracy,f1,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTrees_r172_BAG_L2,0.5500961965369247,0.64375,0.5516381766381766,0.7553648068669528,0.6700132618405684,f1_macro,0.8197476863861084,0.7150919437408447,48.63250255584717,0.08846044540405273,0.06560969352722168,0.684319257736206,2,True,119
RandomForest_r195_BAG_L2,0.5500961965369247,0.64375,0.5516381766381766,0.7553648068669528,0.677902024482342,f1_macro,0.8246419429779053,0.716407299041748,48.79143691062927,0.09335470199584961,0.066925048828125,0.8432536125183105,2,True,109
XGBoost_BAG_L1,0.5487957098608478,0.61875,0.5480769230769231,0.726457399103139,0.6592314952025365,f1_macro,0.044696807861328125,0.01974797248840332,2.706148147583008,0.044696807861328125,0.01974797248840332,2.706148147583008,1,True,9
CatBoost_r9_BAG_L2,0.5454545454545454,0.6375,0.5470085470085471,0.75,0.6784245166598109,f1_macro,0.7464327812194824,0.6920874118804932,55.746583461761475,0.015145540237426758,0.04260516166687012,7.798400163650513,2,True,101
RandomForest_r39_BAG_L2,0.5454545454545454,0.6375,0.5470085470085471,0.75,0.6800631265690169,f1_macro,0.8142881393432617,0.716721773147583,48.74785614013672,0.08300089836120605,0.06723952293395996,0.7996728420257568,2,True,128
CatBoost_r69_BAG_L2,0.5434292866082603,0.64375,0.5466524216524217,0.7574468085106383,0.6730077748794151,f1_macro,0.7435555458068848,0.672004222869873,48.87932825088501,0.012268304824829102,0.02252197265625,0.9311449527740479,2,True,120
LightGBM_r30_BAG_L1,0.5433918128654971,0.61875,0.5430911680911681,0.7288888888888889,0.6490031806127583,f1_macro,0.07715964317321777,0.05720114707946777,3.829035997390747,0.07715964317321777,0.05720114707946777,3.829035997390747,1,True,67
LightGBMXT_BAG_L1,0.5423340961098397,0.625,0.5427350427350428,0.7368421052631579,0.6609831345125463,f1_macro,0.025712966918945312,0.014991998672485352,1.98720121383667,0.025712966918945312,0.014991998672485352,1.98720121383667,1,True,1
NeuralNetFastAI_BAG_L2,0.5408895265423243,0.65,0.5462962962962963,0.7647058823529411,0.6859617496068133,f1_macro,0.786576509475708,0.7074956893920898,51.319690227508545,0.055289268493652344,0.0580134391784668,3.371506929397583,2,True,93
ExtraTrees_r172_BAG_L1,0.5408336981370689,0.63125,0.5423789173789173,0.7445887445887446,0.6331304714824217,f1_macro,0.09686088562011719,0.06368207931518555,0.6664149761199951,0.09686088562011719,0.06368207931518555,0.6664149761199951,1,True,34
CatBoost_r50_BAG_L2,0.5408336981370689,0.63125,0.5423789173789173,0.7445887445887446,0.6686951335199373,f1_macro,0.7418875694274902,0.668724536895752,49.000799894332886,0.01060032844543457,0.019242286682128906,1.0526165962219238,2,True,116
CatBoost_r70_BAG_L2,0.5408336981370689,0.63125,0.5423789173789173,0.7445887445887446,0.6796561059001763,f1_macro,0.7459337711334229,0.6764271259307861,51.01500463485718,0.014646530151367188,0.026944875717163086,3.066821336746216,2,True,125
XGBoost_r194_BAG_L1,0.5394855189782335,0.6,0.5391737891737891,0.7064220183486238,0.6581565156921345,f1_macro,0.04664134979248047,0.02838587760925293,3.101938486099243,0.04664134979248047,0.02838587760925293,3.101938486099243,1,True,33
LightGBM_r196_BAG_L1,0.539313399778516,0.59375,0.5395299145299145,0.6976744186046512,0.630580603663827,f1_macro,0.3157165050506592,0.08905768394470215,5.3112101554870605,0.3157165050506592,0.08905768394470215,5.3112101554870605,1,True,42
RandomForestEntr_BAG_L2,0.5388590737427947,0.6375,0.542022792022792,0.7521367521367521,0.6707939119703825,f1_macro,0.8234810829162598,0.7160274982452393,48.62677979469299,0.0921938419342041,0.06654524803161621,0.6785964965820312,2,True,89
NeuralNetTorch_BAG_L2,0.5377908503597878,0.65625,0.545940170940171,0.7717842323651453,0.6908715846209506,f1_macro,0.7846205234527588,0.7777326107025146,54.7768657207489,0.053333282470703125,0.1282503604888916,6.8286824226379395,2,True,95
RandomForest_r127_BAG_L1,0.537681777272512,0.61875,0.538105413105413,0.7312775330396476,0.6307070841840452,f1_macro,0.08979153633117676,0.06253933906555176,0.8472721576690674,0.08979153633117676,0.06253933906555176,0.8472721576690674,1,True,56
NeuralNetFastAI_r102_BAG_L1,0.5363733414671343,0.64375,0.5416666666666667,0.759493670886076,0.6552342717021911,f1_macro,0.03669571876525879,0.04069399833679199,3.159237861633301,0.03669571876525879,0.04069399833679199,3.159237861633301,1,True,22
NeuralNetFastAI_r65_BAG_L1,0.535177466211949,0.56875,0.540954415954416,0.6600985221674877,0.6070592324159617,f1_macro,0.0429689884185791,0.05859637260437012,3.6850411891937256,0.0429689884185791,0.05859637260437012,3.6850411891937256,1,True,65
XGBoost_r98_BAG_L1,0.5344736378063834,0.5875,0.534900284900285,0.6915887850467289,0.6302501067818328,f1_macro,0.07634282112121582,0.058934688568115234,5.8911802768707275,0.07634282112121582,0.058934688568115234,5.8911802768707275,1,True,47
ExtraTreesGini_BAG_L2,0.5343100981697992,0.63125,0.5373931623931624,0.7467811158798283,0.6620709740512124,f1_macro,0.8240015506744385,0.7233247756958008,48.67874884605408,0.09271430969238281,0.07384252548217773,0.7305655479431152,2,True,91
ExtraTreesEntr_BAG_L2,0.5343100981697992,0.63125,0.5373931623931624,0.7467811158798283,0.6585912832247314,f1_macro,0.8264052867889404,0.7211470603942871,48.60639929771423,0.09511804580688477,0.07166481018066406,0.6582159996032715,2,True,92
NeuralNetFastAI_r95_BAG_L2,0.5340811044003451,0.6625,0.5455840455840456,0.7786885245901639,0.680411374324265,f1_macro,0.7932510375976562,0.7354567050933838,53.595672369003296,0.061963796615600586,0.08597445487976074,5.647489070892334,2,True,130
RandomForestGini_BAG_L1,0.5316473919094007,0.61875,0.5331196581196581,0.7336244541484717,0.6215748687286069,f1_macro,0.09998369216918945,0.06798529624938965,0.7136356830596924,0.09998369216918945,0.06798529624938965,0.7136356830596924,1,True,3
LightGBM_r188_BAG_L1,0.5298159952981599,0.59375,0.5295584045584045,0.7031963470319634,0.6442378592117023,f1_macro,0.04046344757080078,0.024759769439697266,2.516474723815918,0.04046344757080078,0.024759769439697266,2.516474723815918,1,True,25
XGBoost_r49_BAG_L1,0.5296388925453029,0.58125,0.5302706552706553,0.6854460093896714,0.6496876009169212,f1_macro,0.0677790641784668,0.026519775390625,3.479883909225464,0.0677790641784668,0.026519775390625,3.479883909225464,1,True,68
RandomForestGini_BAG_L2,0.5274092615769712,0.63125,0.5324074074074074,0.7489361702127659,0.6712859077073472,f1_macro,0.8190586566925049,0.7194499969482422,48.657686710357666,0.08777141571044922,0.06996774673461914,0.7095034122467041,2,True,88
RandomForest_r195_BAG_L1,0.5270785659801678,0.6125,0.5284900284900285,0.7280701754385965,0.6245084427290529,f1_macro,0.08599400520324707,0.06539440155029297,0.8773956298828125,0.08599400520324707,0.06539440155029297,0.8773956298828125,1,True,24
RandomForest_r39_BAG_L1,0.5270785659801678,0.6125,0.5284900284900285,0.7280701754385965,0.6241554961644187,f1_macro,0.09205412864685059,0.06552338600158691,0.7901430130004883,0.09205412864685059,0.06552338600158691,0.7901430130004883,1,True,43
WeightedEnsemble_L3,0.5253790375741596,0.6625,0.5405982905982906,0.7804878048780488,0.7048817696414951,f1_macro,1.0065693855285645,0.9649643898010254,78.78792929649353,0.0020608901977539062,0.001691579818725586,0.28836560249328613,3,True,131
NeuralNetTorch_r14_BAG_L2,0.525323161686798,0.65,0.5363247863247863,0.768595041322314,0.6803327565813269,f1_macro,0.7727863788604736,0.7105004787445068,51.76893067359924,0.04149913787841797,0.06101822853088379,3.8207473754882812,2,True,122
NeuralNetFastAI_r11_BAG_L2,0.5245714285714286,0.675,0.5448717948717948,0.792,0.7017995076405483,f1_macro,0.8003475666046143,0.743588924407959,57.475303649902344,0.0690603256225586,0.09410667419433594,9.527120351791382,2,True,117
LightGBM_r130_BAG_L1,0.5238095238095238,0.6,0.5242165242165242,0.7142857142857143,0.6577128753599342,f1_macro,0.01726698875427246,0.014382600784301758,1.4995782375335693,0.01726698875427246,0.014382600784301758,1.4995782375335693,1,True,29
LightGBM_BAG_L1,0.5238095238095238,0.6,0.5242165242165242,0.7142857142857143,0.659650870203397,f1_macro,0.027084827423095703,0.01822972297668457,2.669804811477661,0.027084827423095703,0.01822972297668457,2.669804811477661,1,True,2
NeuralNetFastAI_r103_BAG_L2,0.5227869243617276,0.6875,0.5491452991452992,0.8031496062992126,0.6921866740874563,f1_macro,0.7765383720397949,0.7122876644134521,52.37391257286072,0.04525113105773926,0.0628054141998291,4.425729274749756,2,True,121
NeuralNetTorch_r86_BAG_L2,0.5209832449183255,0.64375,0.5316951566951567,0.7634854771784232,0.6859462727822406,f1_macro,0.802933931350708,0.7240633964538574,54.305426597595215,0.07164669036865234,0.07458114624023438,6.357243299484253,2,True,115
LightGBM_r94_BAG_L1,0.5207729468599034,0.6125,0.5235042735042735,0.7304347826086957,0.6598658906844992,f1_macro,0.02200007438659668,0.0208432674407959,2.1089510917663574,0.02200007438659668,0.0208432674407959,2.1089510917663574,1,True,59
ExtraTrees_r42_BAG_L2,0.5185239998026738,0.61875,0.5231481481481481,0.7381974248927039,0.6688765657754784,f1_macro,0.8203110694885254,0.7181968688964844,48.6607551574707,0.08902382850646973,0.06871461868286133,0.7125718593597412,2,True,105
LightGBM_r143_BAG_L1,0.517981547731124,0.6,0.5192307692307692,0.7168141592920354,0.6552250669344043,f1_macro,0.04792332649230957,0.031676292419433594,3.46730899810791,0.04792332649230957,0.031676292419433594,3.46730899810791,1,True,55
NeuralNetFastAI_r191_BAG_L2,0.5168248490077653,0.65,0.5313390313390314,0.7704918032786885,0.6886603341706652,f1_macro,0.7822513580322266,0.7453978061676025,55.79645299911499,0.0509641170501709,0.09591555595397949,7.848269701004028,2,True,100
NeuralNetFastAI_r145_BAG_L2,0.5168248490077653,0.65,0.5313390313390314,0.7704918032786885,0.6844530071416363,f1_macro,0.7873821258544922,0.7274868488311768,53.209386587142944,0.05609488487243652,0.07800459861755371,5.261203289031982,2,True,111
